time,sdate,stimestart,zone_start,stimeend,zone_end,price
2024-01-01 00:00:00,01.01.2024,00:00,CET,01:00,CET,0.01
2024-01-01 01:00:00,01.01.2024,01:00,CET,02:00,CET,0.001
2024-01-01 02:00:00,01.01.2024,02:00,CET,03:00,CET,0.0
2024-01-01 03:00:00,01.01.2024,03:00,CET,04:00,CET,-0.001
2024-01-01 04:00:00,01.01.2024,04:00,CET,05:00,CET,-0.003
2024-01-01 05:00:00,01.01.2024,05:00,CET,06:00,CET,-0.002
2024-01-01 06:00:00,01.01.2024,06:00,CET,07:00,CET,-0.005
2024-01-01 07:00:00,01.01.2024,07:00,CET,08:00,CET,-0.002
2024-01-01 08:00:00,01.01.2024,08:00,CET,09:00,CET,0.0
2024-01-01 09:00:00,01.01.2024,09:00,CET,10:00,CET,0.004
2024-01-01 10:00:00,01.01.2024,10:00,CET,11:00,CET,0.006
2024-01-01 11:00:00,01.01.2024,11:00,CET,12:00,CET,0.054
2024-01-01 12:00:00,01.01.2024,12:00,CET,13:00,CET,0.224
2024-01-01 13:00:00,01.01.2024,13:00,CET,14:00,CET,0.196
2024-01-01 14:00:00,01.01.2024,14:00,CET,15:00,CET,0.104
2024-01-01 15:00:00,01.01.2024,15:00,CET,16:00,CET,0.366
2024-01-01 16:00:00,01.01.2024,16:00,CET,17:00,CET,4.306
2024-01-01 17:00:00,01.01.2024,17:00,CET,18:00,CET,4.993
2024-01-01 18:00:00,01.01.2024,18:00,CET,19:00,CET,5.8
2024-01-01 19:00:00,01.01.2024,19:00,CET,20:00,CET,5.425
2024-01-01 20:00:00,01.01.2024,20:00,CET,21:00,CET,4.801
2024-01-01 21:00:00,01.01.2024,21:00,CET,22:00,CET,4.295
2024-01-01 22:00:00,01.01.2024,22:00,CET,23:00,CET,4.709
2024-01-01 23:00:00,01.01.2024,23:00,CET,00:00,CET,3.555
2024-01-02 00:00:00,02.01.2024,00:00,CET,01:00,CET,3.059
2024-01-02 01:00:00,02.01.2024,01:00,CET,02:00,CET,2.007
2024-01-02 02:00:00,02.01.2024,02:00,CET,03:00,CET,3.103
2024-01-02 03:00:00,02.01.2024,03:00,CET,04:00,CET,1.839
2024-01-02 04:00:00,02.01.2024,04:00,CET,05:00,CET,1.108
2024-01-02 05:00:00,02.01.2024,05:00,CET,06:00,CET,1.378
2024-01-02 06:00:00,02.01.2024,06:00,CET,07:00,CET,4.763
2024-01-02 07:00:00,02.01.2024,07:00,CET,08:00,CET,5.81
2024-01-02 08:00:00,02.01.2024,08:00,CET,09:00,CET,6.567
2024-01-02 09:00:00,02.01.2024,09:00,CET,10:00,CET,6.473
2024-01-02 10:00:00,02.01.2024,10:00,CET,11:00,CET,6.898
2024-01-02 11:00:00,02.01.2024,11:00,CET,12:00,CET,7.354
2024-01-02 12:00:00,02.01.2024,12:00,CET,13:00,CET,7.816
2024-01-02 13:00:00,02.01.2024,13:00,CET,14:00,CET,7.887
2024-01-02 14:00:00,02.01.2024,14:00,CET,15:00,CET,7.924
2024-01-02 15:00:00,02.01.2024,15:00,CET,16:00,CET,7.996
2024-01-02 16:00:00,02.01.2024,16:00,CET,17:00,CET,8.346
2024-01-02 17:00:00,02.01.2024,17:00,CET,18:00,CET,8.092
2024-01-02 18:00:00,02.01.2024,18:00,CET,19:00,CET,7.495
2024-01-02 19:00:00,02.01.2024,19:00,CET,20:00,CET,6.318
2024-01-02 20:00:00,02.01.2024,20:00,CET,21:00,CET,5.711
2024-01-02 21:00:00,02.01.2024,21:00,CET,22:00,CET,4.689
2024-01-02 22:00:00,02.01.2024,22:00,CET,23:00,CET,4.0
2024-01-02 23:00:00,02.01.2024,23:00,CET,00:00,CET,0.743
2024-01-03 00:00:00,03.01.2024,00:00,CET,01:00,CET,-0.008
2024-01-03 01:00:00,03.01.2024,01:00,CET,02:00,CET,-0.123
2024-01-03 02:00:00,03.01.2024,02:00,CET,03:00,CET,-0.13
2024-01-03 03:00:00,03.01.2024,03:00,CET,04:00,CET,-0.131
2024-01-03 04:00:00,03.01.2024,04:00,CET,05:00,CET,-0.131
2024-01-03 05:00:00,03.01.2024,05:00,CET,06:00,CET,-0.138
2024-01-03 06:00:00,03.01.2024,06:00,CET,07:00,CET,0.109
2024-01-03 07:00:00,03.01.2024,07:00,CET,08:00,CET,4.059
2024-01-03 08:00:00,03.01.2024,08:00,CET,09:00,CET,5.961
2024-01-03 09:00:00,03.01.2024,09:00,CET,10:00,CET,6.061
2024-01-03 10:00:00,03.01.2024,10:00,CET,11:00,CET,5.7
2024-01-03 11:00:00,03.01.2024,11:00,CET,12:00,CET,5.489
2024-01-03 12:00:00,03.01.2024,12:00,CET,13:00,CET,5.389
2024-01-03 13:00:00,03.01.2024,13:00,CET,14:00,CET,5.442
2024-01-03 14:00:00,03.01.2024,14:00,CET,15:00,CET,6.086
2024-01-03 15:00:00,03.01.2024,15:00,CET,16:00,CET,6.718
2024-01-03 16:00:00,03.01.2024,16:00,CET,17:00,CET,7.359
2024-01-03 17:00:00,03.01.2024,17:00,CET,18:00,CET,8.228
2024-01-03 18:00:00,03.01.2024,18:00,CET,19:00,CET,8.297
2024-01-03 19:00:00,03.01.2024,19:00,CET,20:00,CET,7.903
2024-01-03 20:00:00,03.01.2024,20:00,CET,21:00,CET,7.323
2024-01-03 21:00:00,03.01.2024,21:00,CET,22:00,CET,6.741
2024-01-03 22:00:00,03.01.2024,22:00,CET,23:00,CET,6.5
2024-01-03 23:00:00,03.01.2024,23:00,CET,00:00,CET,5.812
2024-01-04 00:00:00,04.01.2024,00:00,CET,01:00,CET,5.73
2024-01-04 01:00:00,04.01.2024,01:00,CET,02:00,CET,5.046
2024-01-04 02:00:00,04.01.2024,02:00,CET,03:00,CET,4.0
2024-01-04 03:00:00,04.01.2024,03:00,CET,04:00,CET,2.548
2024-01-04 04:00:00,04.01.2024,04:00,CET,05:00,CET,3.5
2024-01-04 05:00:00,04.01.2024,05:00,CET,06:00,CET,5.773
2024-01-04 06:00:00,04.01.2024,06:00,CET,07:00,CET,7.265
2024-01-04 07:00:00,04.01.2024,07:00,CET,08:00,CET,8.502
2024-01-04 08:00:00,04.01.2024,08:00,CET,09:00,CET,9.147
2024-01-04 09:00:00,04.01.2024,09:00,CET,10:00,CET,9.42
2024-01-04 10:00:00,04.01.2024,10:00,CET,11:00,CET,9.161
2024-01-04 11:00:00,04.01.2024,11:00,CET,12:00,CET,9.003
2024-01-04 12:00:00,04.01.2024,12:00,CET,13:00,CET,8.63
2024-01-04 13:00:00,04.01.2024,13:00,CET,14:00,CET,8.596
2024-01-04 14:00:00,04.01.2024,14:00,CET,15:00,CET,9.211
2024-01-04 15:00:00,04.01.2024,15:00,CET,16:00,CET,9.862
2024-01-04 16:00:00,04.01.2024,16:00,CET,17:00,CET,10.573
2024-01-04 17:00:00,04.01.2024,17:00,CET,18:00,CET,13.323
2024-01-04 18:00:00,04.01.2024,18:00,CET,19:00,CET,14.465
2024-01-04 19:00:00,04.01.2024,19:00,CET,20:00,CET,12.5
2024-01-04 20:00:00,04.01.2024,20:00,CET,21:00,CET,10.359
2024-01-04 21:00:00,04.01.2024,21:00,CET,22:00,CET,10.001
2024-01-04 22:00:00,04.01.2024,22:00,CET,23:00,CET,9.486
2024-01-04 23:00:00,04.01.2024,23:00,CET,00:00,CET,8.883
2024-01-05 00:00:00,05.01.2024,00:00,CET,01:00,CET,8.608
2024-01-05 01:00:00,05.01.2024,01:00,CET,02:00,CET,8.051
2024-01-05 02:00:00,05.01.2024,02:00,CET,03:00,CET,7.701
2024-01-05 03:00:00,05.01.2024,03:00,CET,04:00,CET,7.321
2024-01-05 04:00:00,05.01.2024,04:00,CET,05:00,CET,7.405
2024-01-05 05:00:00,05.01.2024,05:00,CET,06:00,CET,7.603
2024-01-05 06:00:00,05.01.2024,06:00,CET,07:00,CET,8.1
2024-01-05 07:00:00,05.01.2024,07:00,CET,08:00,CET,8.7
2024-01-05 08:00:00,05.01.2024,08:00,CET,09:00,CET,8.957
2024-01-05 09:00:00,05.01.2024,09:00,CET,10:00,CET,9.493
2024-01-05 10:00:00,05.01.2024,10:00,CET,11:00,CET,9.628
2024-01-05 11:00:00,05.01.2024,11:00,CET,12:00,CET,9.822
2024-01-05 12:00:00,05.01.2024,12:00,CET,13:00,CET,9.224
2024-01-05 13:00:00,05.01.2024,13:00,CET,14:00,CET,9.154
2024-01-05 14:00:00,05.01.2024,14:00,CET,15:00,CET,9.641
2024-01-05 15:00:00,05.01.2024,15:00,CET,16:00,CET,10.005
2024-01-05 16:00:00,05.01.2024,16:00,CET,17:00,CET,10.297
2024-01-05 17:00:00,05.01.2024,17:00,CET,18:00,CET,10.738
2024-01-05 18:00:00,05.01.2024,18:00,CET,19:00,CET,10.845
2024-01-05 19:00:00,05.01.2024,19:00,CET,20:00,CET,10.396
2024-01-05 20:00:00,05.01.2024,20:00,CET,21:00,CET,10.009
2024-01-05 21:00:00,05.01.2024,21:00,CET,22:00,CET,9.419
2024-01-05 22:00:00,05.01.2024,22:00,CET,23:00,CET,9.492
2024-01-05 23:00:00,05.01.2024,23:00,CET,00:00,CET,8.68
2024-01-06 00:00:00,06.01.2024,00:00,CET,01:00,CET,8.225
2024-01-06 01:00:00,06.01.2024,01:00,CET,02:00,CET,8.02
2024-01-06 02:00:00,06.01.2024,02:00,CET,03:00,CET,7.613
2024-01-06 03:00:00,06.01.2024,03:00,CET,04:00,CET,7.301
2024-01-06 04:00:00,06.01.2024,04:00,CET,05:00,CET,7.301
2024-01-06 05:00:00,06.01.2024,05:00,CET,06:00,CET,7.459
2024-01-06 06:00:00,06.01.2024,06:00,CET,07:00,CET,7.51
2024-01-06 07:00:00,06.01.2024,07:00,CET,08:00,CET,8.139
2024-01-06 08:00:00,06.01.2024,08:00,CET,09:00,CET,8.84
2024-01-06 09:00:00,06.01.2024,09:00,CET,10:00,CET,9.223
2024-01-06 10:00:00,06.01.2024,10:00,CET,11:00,CET,9.73
2024-01-06 11:00:00,06.01.2024,11:00,CET,12:00,CET,10.043
2024-01-06 12:00:00,06.01.2024,12:00,CET,13:00,CET,9.916
2024-01-06 13:00:00,06.01.2024,13:00,CET,14:00,CET,9.522
2024-01-06 14:00:00,06.01.2024,14:00,CET,15:00,CET,9.255
2024-01-06 15:00:00,06.01.2024,15:00,CET,16:00,CET,9.509
2024-01-06 16:00:00,06.01.2024,16:00,CET,17:00,CET,9.985
2024-01-06 17:00:00,06.01.2024,17:00,CET,18:00,CET,10.427
2024-01-06 18:00:00,06.01.2024,18:00,CET,19:00,CET,10.363
2024-01-06 19:00:00,06.01.2024,19:00,CET,20:00,CET,9.9
2024-01-06 20:00:00,06.01.2024,20:00,CET,21:00,CET,9.214
2024-01-06 21:00:00,06.01.2024,21:00,CET,22:00,CET,8.8
2024-01-06 22:00:00,06.01.2024,22:00,CET,23:00,CET,8.657
2024-01-06 23:00:00,06.01.2024,23:00,CET,00:00,CET,7.987
2024-01-07 00:00:00,07.01.2024,00:00,CET,01:00,CET,8.408
2024-01-07 01:00:00,07.01.2024,01:00,CET,02:00,CET,7.982
2024-01-07 02:00:00,07.01.2024,02:00,CET,03:00,CET,7.676
2024-01-07 03:00:00,07.01.2024,03:00,CET,04:00,CET,7.346
2024-01-07 04:00:00,07.01.2024,04:00,CET,05:00,CET,7.186
2024-01-07 05:00:00,07.01.2024,05:00,CET,06:00,CET,7.208
2024-01-07 06:00:00,07.01.2024,06:00,CET,07:00,CET,7.49
2024-01-07 07:00:00,07.01.2024,07:00,CET,08:00,CET,7.769
2024-01-07 08:00:00,07.01.2024,08:00,CET,09:00,CET,8.179
2024-01-07 09:00:00,07.01.2024,09:00,CET,10:00,CET,8.486
2024-01-07 10:00:00,07.01.2024,10:00,CET,11:00,CET,8.715
2024-01-07 11:00:00,07.01.2024,11:00,CET,12:00,CET,8.914
2024-01-07 12:00:00,07.01.2024,12:00,CET,13:00,CET,8.866
2024-01-07 13:00:00,07.01.2024,13:00,CET,14:00,CET,8.481
2024-01-07 14:00:00,07.01.2024,14:00,CET,15:00,CET,8.434
2024-01-07 15:00:00,07.01.2024,15:00,CET,16:00,CET,8.801
2024-01-07 16:00:00,07.01.2024,16:00,CET,17:00,CET,9.342
2024-01-07 17:00:00,07.01.2024,17:00,CET,18:00,CET,10.177
2024-01-07 18:00:00,07.01.2024,18:00,CET,19:00,CET,10.485
2024-01-07 19:00:00,07.01.2024,19:00,CET,20:00,CET,10.355
2024-01-07 20:00:00,07.01.2024,20:00,CET,21:00,CET,10.05
2024-01-07 21:00:00,07.01.2024,21:00,CET,22:00,CET,9.331
2024-01-07 22:00:00,07.01.2024,22:00,CET,23:00,CET,9.117
2024-01-07 23:00:00,07.01.2024,23:00,CET,00:00,CET,8.386
2024-01-08 00:00:00,08.01.2024,00:00,CET,01:00,CET,8.702
2024-01-08 01:00:00,08.01.2024,01:00,CET,02:00,CET,8.432
2024-01-08 02:00:00,08.01.2024,02:00,CET,03:00,CET,8.182
2024-01-08 03:00:00,08.01.2024,03:00,CET,04:00,CET,7.911
2024-01-08 04:00:00,08.01.2024,04:00,CET,05:00,CET,7.848
2024-01-08 05:00:00,08.01.2024,05:00,CET,06:00,CET,8.21
2024-01-08 06:00:00,08.01.2024,06:00,CET,07:00,CET,9.43
2024-01-08 07:00:00,08.01.2024,07:00,CET,08:00,CET,11.11
2024-01-08 08:00:00,08.01.2024,08:00,CET,09:00,CET,12.111
2024-01-08 09:00:00,08.01.2024,09:00,CET,10:00,CET,11.783
2024-01-08 10:00:00,08.01.2024,10:00,CET,11:00,CET,11.06
2024-01-08 11:00:00,08.01.2024,11:00,CET,12:00,CET,10.3
2024-01-08 12:00:00,08.01.2024,12:00,CET,13:00,CET,9.55
2024-01-08 13:00:00,08.01.2024,13:00,CET,14:00,CET,9.26
2024-01-08 14:00:00,08.01.2024,14:00,CET,15:00,CET,10.0
2024-01-08 15:00:00,08.01.2024,15:00,CET,16:00,CET,10.798
2024-01-08 16:00:00,08.01.2024,16:00,CET,17:00,CET,11.687
2024-01-08 17:00:00,08.01.2024,17:00,CET,18:00,CET,12.913
2024-01-08 18:00:00,08.01.2024,18:00,CET,19:00,CET,13.001
2024-01-08 19:00:00,08.01.2024,19:00,CET,20:00,CET,12.212
2024-01-08 20:00:00,08.01.2024,20:00,CET,21:00,CET,11.421
2024-01-08 21:00:00,08.01.2024,21:00,CET,22:00,CET,10.283
2024-01-08 22:00:00,08.01.2024,22:00,CET,23:00,CET,9.998
2024-01-08 23:00:00,08.01.2024,23:00,CET,00:00,CET,9.149
2024-01-09 00:00:00,09.01.2024,00:00,CET,01:00,CET,8.816
2024-01-09 01:00:00,09.01.2024,01:00,CET,02:00,CET,8.704
2024-01-09 02:00:00,09.01.2024,02:00,CET,03:00,CET,8.5
2024-01-09 03:00:00,09.01.2024,03:00,CET,04:00,CET,8.414
2024-01-09 04:00:00,09.01.2024,04:00,CET,05:00,CET,8.572
2024-01-09 05:00:00,09.01.2024,05:00,CET,06:00,CET,8.928
2024-01-09 06:00:00,09.01.2024,06:00,CET,07:00,CET,10.851
2024-01-09 07:00:00,09.01.2024,07:00,CET,08:00,CET,12.406
2024-01-09 08:00:00,09.01.2024,08:00,CET,09:00,CET,13.324
2024-01-09 09:00:00,09.01.2024,09:00,CET,10:00,CET,12.091
2024-01-09 10:00:00,09.01.2024,10:00,CET,11:00,CET,11.319
2024-01-09 11:00:00,09.01.2024,11:00,CET,12:00,CET,10.578
2024-01-09 12:00:00,09.01.2024,12:00,CET,13:00,CET,10.022
2024-01-09 13:00:00,09.01.2024,13:00,CET,14:00,CET,10.082
2024-01-09 14:00:00,09.01.2024,14:00,CET,15:00,CET,11.089
2024-01-09 15:00:00,09.01.2024,15:00,CET,16:00,CET,11.94
2024-01-09 16:00:00,09.01.2024,16:00,CET,17:00,CET,12.785
2024-01-09 17:00:00,09.01.2024,17:00,CET,18:00,CET,13.784
2024-01-09 18:00:00,09.01.2024,18:00,CET,19:00,CET,13.78
2024-01-09 19:00:00,09.01.2024,19:00,CET,20:00,CET,13.043
2024-01-09 20:00:00,09.01.2024,20:00,CET,21:00,CET,12.024
2024-01-09 21:00:00,09.01.2024,21:00,CET,22:00,CET,11.168
2024-01-09 22:00:00,09.01.2024,22:00,CET,23:00,CET,10.618
2024-01-09 23:00:00,09.01.2024,23:00,CET,00:00,CET,9.709
2024-01-10 00:00:00,10.01.2024,00:00,CET,01:00,CET,8.929
2024-01-10 01:00:00,10.01.2024,01:00,CET,02:00,CET,8.676
2024-01-10 02:00:00,10.01.2024,02:00,CET,03:00,CET,8.673
2024-01-10 03:00:00,10.01.2024,03:00,CET,04:00,CET,8.609
2024-01-10 04:00:00,10.01.2024,04:00,CET,05:00,CET,8.63
2024-01-10 05:00:00,10.01.2024,05:00,CET,06:00,CET,8.905
2024-01-10 06:00:00,10.01.2024,06:00,CET,07:00,CET,10.888
2024-01-10 07:00:00,10.01.2024,07:00,CET,08:00,CET,12.629
2024-01-10 08:00:00,10.01.2024,08:00,CET,09:00,CET,14.128
2024-01-10 09:00:00,10.01.2024,09:00,CET,10:00,CET,13.039
2024-01-10 10:00:00,10.01.2024,10:00,CET,11:00,CET,11.856
2024-01-10 11:00:00,10.01.2024,11:00,CET,12:00,CET,10.913
2024-01-10 12:00:00,10.01.2024,12:00,CET,13:00,CET,10.221
2024-01-10 13:00:00,10.01.2024,13:00,CET,14:00,CET,10.561
2024-01-10 14:00:00,10.01.2024,14:00,CET,15:00,CET,11.291
2024-01-10 15:00:00,10.01.2024,15:00,CET,16:00,CET,12.38
2024-01-10 16:00:00,10.01.2024,16:00,CET,17:00,CET,13.464
2024-01-10 17:00:00,10.01.2024,17:00,CET,18:00,CET,14.379
2024-01-10 18:00:00,10.01.2024,18:00,CET,19:00,CET,14.0
2024-01-10 19:00:00,10.01.2024,19:00,CET,20:00,CET,13.215
2024-01-10 20:00:00,10.01.2024,20:00,CET,21:00,CET,12.0
2024-01-10 21:00:00,10.01.2024,21:00,CET,22:00,CET,10.976
2024-01-10 22:00:00,10.01.2024,22:00,CET,23:00,CET,10.449
2024-01-10 23:00:00,10.01.2024,23:00,CET,00:00,CET,9.603
2024-01-11 00:00:00,11.01.2024,00:00,CET,01:00,CET,9.175
2024-01-11 01:00:00,11.01.2024,01:00,CET,02:00,CET,8.859
2024-01-11 02:00:00,11.01.2024,02:00,CET,03:00,CET,8.725
2024-01-11 03:00:00,11.01.2024,03:00,CET,04:00,CET,8.238
2024-01-11 04:00:00,11.01.2024,04:00,CET,05:00,CET,8.195
2024-01-11 05:00:00,11.01.2024,05:00,CET,06:00,CET,8.936
2024-01-11 06:00:00,11.01.2024,06:00,CET,07:00,CET,10.207
2024-01-11 07:00:00,11.01.2024,07:00,CET,08:00,CET,11.686
2024-01-11 08:00:00,11.01.2024,08:00,CET,09:00,CET,14.1
2024-01-11 09:00:00,11.01.2024,09:00,CET,10:00,CET,12.916
2024-01-11 10:00:00,11.01.2024,10:00,CET,11:00,CET,11.365
2024-01-11 11:00:00,11.01.2024,11:00,CET,12:00,CET,10.648
2024-01-11 12:00:00,11.01.2024,12:00,CET,13:00,CET,9.938
2024-01-11 13:00:00,11.01.2024,13:00,CET,14:00,CET,9.9
2024-01-11 14:00:00,11.01.2024,14:00,CET,15:00,CET,10.598
2024-01-11 15:00:00,11.01.2024,15:00,CET,16:00,CET,11.796
2024-01-11 16:00:00,11.01.2024,16:00,CET,17:00,CET,13.735
2024-01-11 17:00:00,11.01.2024,17:00,CET,18:00,CET,15.009
2024-01-11 18:00:00,11.01.2024,18:00,CET,19:00,CET,13.669
2024-01-11 19:00:00,11.01.2024,19:00,CET,20:00,CET,13.231
2024-01-11 20:00:00,11.01.2024,20:00,CET,21:00,CET,11.788
2024-01-11 21:00:00,11.01.2024,21:00,CET,22:00,CET,10.719
2024-01-11 22:00:00,11.01.2024,22:00,CET,23:00,CET,10.0
2024-01-11 23:00:00,11.01.2024,23:00,CET,00:00,CET,9.722
2024-01-12 00:00:00,12.01.2024,00:00,CET,01:00,CET,9.104
2024-01-12 01:00:00,12.01.2024,01:00,CET,02:00,CET,8.822
2024-01-12 02:00:00,12.01.2024,02:00,CET,03:00,CET,8.522
2024-01-12 03:00:00,12.01.2024,03:00,CET,04:00,CET,8.463
2024-01-12 04:00:00,12.01.2024,04:00,CET,05:00,CET,8.434
2024-01-12 05:00:00,12.01.2024,05:00,CET,06:00,CET,8.532
2024-01-12 06:00:00,12.01.2024,06:00,CET,07:00,CET,9.211
2024-01-12 07:00:00,12.01.2024,07:00,CET,08:00,CET,11.816
2024-01-12 08:00:00,12.01.2024,08:00,CET,09:00,CET,14.074
2024-01-12 09:00:00,12.01.2024,09:00,CET,10:00,CET,13.496
2024-01-12 10:00:00,12.01.2024,10:00,CET,11:00,CET,12.201
2024-01-12 11:00:00,12.01.2024,11:00,CET,12:00,CET,11.473
2024-01-12 12:00:00,12.01.2024,12:00,CET,13:00,CET,10.698
2024-01-12 13:00:00,12.01.2024,13:00,CET,14:00,CET,10.308
2024-01-12 14:00:00,12.01.2024,14:00,CET,15:00,CET,10.454
2024-01-12 15:00:00,12.01.2024,15:00,CET,16:00,CET,11.0
2024-01-12 16:00:00,12.01.2024,16:00,CET,17:00,CET,12.0
2024-01-12 17:00:00,12.01.2024,17:00,CET,18:00,CET,12.75
2024-01-12 18:00:00,12.01.2024,18:00,CET,19:00,CET,12.6
2024-01-12 19:00:00,12.01.2024,19:00,CET,20:00,CET,11.947
2024-01-12 20:00:00,12.01.2024,20:00,CET,21:00,CET,10.879
2024-01-12 21:00:00,12.01.2024,21:00,CET,22:00,CET,9.848
2024-01-12 22:00:00,12.01.2024,22:00,CET,23:00,CET,9.337
2024-01-12 23:00:00,12.01.2024,23:00,CET,00:00,CET,8.538
2024-01-13 00:00:00,13.01.2024,00:00,CET,01:00,CET,9.0
2024-01-13 01:00:00,13.01.2024,01:00,CET,02:00,CET,8.5
2024-01-13 02:00:00,13.01.2024,02:00,CET,03:00,CET,8.2
2024-01-13 03:00:00,13.01.2024,03:00,CET,04:00,CET,7.847
2024-01-13 04:00:00,13.01.2024,04:00,CET,05:00,CET,7.5
2024-01-13 05:00:00,13.01.2024,05:00,CET,06:00,CET,7.492
2024-01-13 06:00:00,13.01.2024,06:00,CET,07:00,CET,7.81
2024-01-13 07:00:00,13.01.2024,07:00,CET,08:00,CET,8.222
2024-01-13 08:00:00,13.01.2024,08:00,CET,09:00,CET,8.526
2024-01-13 09:00:00,13.01.2024,09:00,CET,10:00,CET,7.511
2024-01-13 10:00:00,13.01.2024,10:00,CET,11:00,CET,7.421
2024-01-13 11:00:00,13.01.2024,11:00,CET,12:00,CET,7.272
2024-01-13 12:00:00,13.01.2024,12:00,CET,13:00,CET,7.035
2024-01-13 13:00:00,13.01.2024,13:00,CET,14:00,CET,6.367
2024-01-13 14:00:00,13.01.2024,14:00,CET,15:00,CET,6.791
2024-01-13 15:00:00,13.01.2024,15:00,CET,16:00,CET,6.861
2024-01-13 16:00:00,13.01.2024,16:00,CET,17:00,CET,7.078
2024-01-13 17:00:00,13.01.2024,17:00,CET,18:00,CET,7.422
2024-01-13 18:00:00,13.01.2024,18:00,CET,19:00,CET,7.581
2024-01-13 19:00:00,13.01.2024,19:00,CET,20:00,CET,7.382
2024-01-13 20:00:00,13.01.2024,20:00,CET,21:00,CET,7.306
2024-01-13 21:00:00,13.01.2024,21:00,CET,22:00,CET,7.093
2024-01-13 22:00:00,13.01.2024,22:00,CET,23:00,CET,6.43
2024-01-13 23:00:00,13.01.2024,23:00,CET,00:00,CET,6.316
2024-01-14 00:00:00,14.01.2024,00:00,CET,01:00,CET,6.402
2024-01-14 01:00:00,14.01.2024,01:00,CET,02:00,CET,6.211
2024-01-14 02:00:00,14.01.2024,02:00,CET,03:00,CET,6.293
2024-01-14 03:00:00,14.01.2024,03:00,CET,04:00,CET,6.401
2024-01-14 04:00:00,14.01.2024,04:00,CET,05:00,CET,6.467
2024-01-14 05:00:00,14.01.2024,05:00,CET,06:00,CET,6.52
2024-01-14 06:00:00,14.01.2024,06:00,CET,07:00,CET,6.731
2024-01-14 07:00:00,14.01.2024,07:00,CET,08:00,CET,7.166
2024-01-14 08:00:00,14.01.2024,08:00,CET,09:00,CET,7.674
2024-01-14 09:00:00,14.01.2024,09:00,CET,10:00,CET,8.114
2024-01-14 10:00:00,14.01.2024,10:00,CET,11:00,CET,8.063
2024-01-14 11:00:00,14.01.2024,11:00,CET,12:00,CET,8.184
2024-01-14 12:00:00,14.01.2024,12:00,CET,13:00,CET,8.039
2024-01-14 13:00:00,14.01.2024,13:00,CET,14:00,CET,7.704
2024-01-14 14:00:00,14.01.2024,14:00,CET,15:00,CET,7.915
2024-01-14 15:00:00,14.01.2024,15:00,CET,16:00,CET,8.232
2024-01-14 16:00:00,14.01.2024,16:00,CET,17:00,CET,8.662
2024-01-14 17:00:00,14.01.2024,17:00,CET,18:00,CET,9.186
2024-01-14 18:00:00,14.01.2024,18:00,CET,19:00,CET,9.697
2024-01-14 19:00:00,14.01.2024,19:00,CET,20:00,CET,8.891
2024-01-14 20:00:00,14.01.2024,20:00,CET,21:00,CET,8.1
2024-01-14 21:00:00,14.01.2024,21:00,CET,22:00,CET,7.86
2024-01-14 22:00:00,14.01.2024,22:00,CET,23:00,CET,7.539
2024-01-14 23:00:00,14.01.2024,23:00,CET,00:00,CET,6.719
2024-01-15 00:00:00,15.01.2024,00:00,CET,01:00,CET,6.79
2024-01-15 01:00:00,15.01.2024,01:00,CET,02:00,CET,6.5
2024-01-15 02:00:00,15.01.2024,02:00,CET,03:00,CET,6.394
2024-01-15 03:00:00,15.01.2024,03:00,CET,04:00,CET,6.204
2024-01-15 04:00:00,15.01.2024,04:00,CET,05:00,CET,6.204
2024-01-15 05:00:00,15.01.2024,05:00,CET,06:00,CET,6.925
2024-01-15 06:00:00,15.01.2024,06:00,CET,07:00,CET,7.995
2024-01-15 07:00:00,15.01.2024,07:00,CET,08:00,CET,8.384
2024-01-15 08:00:00,15.01.2024,08:00,CET,09:00,CET,9.93
2024-01-15 09:00:00,15.01.2024,09:00,CET,10:00,CET,10.029
2024-01-15 10:00:00,15.01.2024,10:00,CET,11:00,CET,9.488
2024-01-15 11:00:00,15.01.2024,11:00,CET,12:00,CET,9.026
2024-01-15 12:00:00,15.01.2024,12:00,CET,13:00,CET,8.386
2024-01-15 13:00:00,15.01.2024,13:00,CET,14:00,CET,8.215
2024-01-15 14:00:00,15.01.2024,14:00,CET,15:00,CET,8.45
2024-01-15 15:00:00,15.01.2024,15:00,CET,16:00,CET,8.944
2024-01-15 16:00:00,15.01.2024,16:00,CET,17:00,CET,9.752
2024-01-15 17:00:00,15.01.2024,17:00,CET,18:00,CET,10.646
2024-01-15 18:00:00,15.01.2024,18:00,CET,19:00,CET,11.28
2024-01-15 19:00:00,15.01.2024,19:00,CET,20:00,CET,11.038
2024-01-15 20:00:00,15.01.2024,20:00,CET,21:00,CET,10.242
2024-01-15 21:00:00,15.01.2024,21:00,CET,22:00,CET,9.178
2024-01-15 22:00:00,15.01.2024,22:00,CET,23:00,CET,8.949
2024-01-15 23:00:00,15.01.2024,23:00,CET,00:00,CET,8.643
2024-01-16 00:00:00,16.01.2024,00:00,CET,01:00,CET,8.145
2024-01-16 01:00:00,16.01.2024,01:00,CET,02:00,CET,8.107
2024-01-16 02:00:00,16.01.2024,02:00,CET,03:00,CET,7.992
2024-01-16 03:00:00,16.01.2024,03:00,CET,04:00,CET,7.819
2024-01-16 04:00:00,16.01.2024,04:00,CET,05:00,CET,7.697
2024-01-16 05:00:00,16.01.2024,05:00,CET,06:00,CET,8.145
2024-01-16 06:00:00,16.01.2024,06:00,CET,07:00,CET,9.407
